prompt_id,prompt_text,emotion,variant_id,emotion_cluster,contrast_role,expected_behavior_effect,prompt_family,source_config
relief__grade_posted__positive,"Read the following short scenario.

Scenario:
A student sees that a difficult exam result is good enough to pass the course. The pressure from waiting for the result starts to lift before they plan the next step.

Do not answer yet. Continue processing the scenario.",relief,grade_posted,closure_regulation,positive,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
relief__grade_posted__control,"Read the following short scenario.

Scenario:
A student sees that a difficult exam result is good enough to pass the course. The posted result is now available before they plan the next step.

Do not answer yet. Continue processing the scenario.",relief,grade_posted,closure_regulation,control,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
relief__lost_item__positive,"Read the following short scenario.

Scenario:
A person finds an important document after searching for it all morning. The search no longer presses on the next thing they need to do.

Do not answer yet. Continue processing the scenario.",relief,lost_item,closure_regulation,positive,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
relief__lost_item__control,"Read the following short scenario.

Scenario:
A person finds an important document after searching for it all morning. The document is now available for the next thing they need to do.

Do not answer yet. Continue processing the scenario.",relief,lost_item,closure_regulation,control,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
relief__resolved_alert__positive,"Read the following short scenario.

Scenario:
A manager learns that an urgent system alert was resolved before it caused damage. The next decision feels less burdened than it did while the alert was open.

Do not answer yet. Continue processing the scenario.",relief,resolved_alert,closure_regulation,positive,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
relief__resolved_alert__control,"Read the following short scenario.

Scenario:
A manager learns that an urgent system alert was resolved before it caused damage. The next decision follows after the alert was closed.

Do not answer yet. Continue processing the scenario.",relief,resolved_alert,closure_regulation,control,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
calm__planning__positive,"Read the following short scenario.

Scenario:
A person reviews tomorrow's schedule with steady attention. The tasks feel clear enough to arrange one by one without rushing.

Do not answer yet. Continue processing the scenario.",calm,planning,closure_regulation,positive,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
calm__planning__control,"Read the following short scenario.

Scenario:
A person reviews tomorrow's schedule. The tasks can be arranged one by one.

Do not answer yet. Continue processing the scenario.",calm,planning,closure_regulation,control,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
calm__conversation__positive,"Read the following short scenario.

Scenario:
A team lead listens to a disagreement and keeps their attention evenly on each person's point. The next response feels manageable enough to think through carefully.

Do not answer yet. Continue processing the scenario.",calm,conversation,closure_regulation,positive,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
calm__conversation__control,"Read the following short scenario.

Scenario:
A team lead listens to a disagreement and hears each person's point. The next response can address the points that were raised.

Do not answer yet. Continue processing the scenario.",calm,conversation,closure_regulation,control,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
calm__repair__positive,"Read the following short scenario.

Scenario:
A person sits down to repair a small household item and looks over the parts at an even pace. The next step feels clear enough to handle methodically.

Do not answer yet. Continue processing the scenario.",calm,repair,closure_regulation,positive,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
calm__repair__control,"Read the following short scenario.

Scenario:
A person sits down to repair a small household item and looks over the parts. The next step depends on how the parts fit together.

Do not answer yet. Continue processing the scenario.",calm,repair,closure_regulation,control,evaluate_later_in_casino_decisions,general_emotion_contrasts_v2,configs/emotion_activation/emotions_general_v2.json
