pair_id,positive_prompt_id,negative_prompt_id,positive_role,negative_role,domain,split,outcome_valence,amount_bucket,risk_context,behavior_target,direction_norm
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_003__pair1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_003__pair1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_003__pair1__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,medium,none,none,492.847900390625
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_003__pair2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_003__pair2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_003__pair2__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,medium,none,none,457.9596252441406
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_001__pair1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_001__pair1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_001__pair1__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,small,none,none,540.6672973632812
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_001__pair2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_001__pair2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_001__pair2__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,small,none,none,629.584716796875
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_002__pair1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_002__pair1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_002__pair1__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,small,none,none,686.54052734375
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_002__pair2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_002__pair2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_002__pair2__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,small,none,none,439.3830871582031
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_003__pair1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_003__pair1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_003__pair1__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,small,none,none,526.00634765625
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_003__pair2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_003__pair2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_003__pair2__paper_open,realized_closed,paper_open,budget_spending,direction_train,gain,small,none,none,1090.4298095703125
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_001__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_001__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_001__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,large,none,none,623.7540283203125
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_001__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_001__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_001__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,large,none,none,590.5883178710938
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_002__budget_fee,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_002__budget_fee__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_002__budget_fee__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,large,none,none,485.1913146972656
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_002__budget_refund,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_002__budget_refund__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_002__budget_refund__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,large,none,none,377.818603515625
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_003__pair1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_003__pair1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_003__pair1__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,large,none,none,420.9565124511719
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_003__pair2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_003__pair2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_003__pair2__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,large,none,none,454.1348571777344
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_001__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_001__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_001__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,medium,none,none,900.926513671875
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_001__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_001__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_001__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,medium,none,none,1342.671630859375
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_002__pair1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_002__pair1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_002__pair1__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,medium,none,none,997.4934692382812
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_002__pair2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_002__pair2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_002__pair2__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,medium,none,none,1124.8701171875
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_003__pair1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_003__pair1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_003__pair1__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,medium,none,none,754.6026000976562
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_003__pair2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_003__pair2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_003__pair2__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,medium,none,none,1000.5609130859375
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_001__pair1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_001__pair1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_001__pair1__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,small,none,none,538.7943115234375
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_001__pair2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_001__pair2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_001__pair2__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,small,none,none,547.902099609375
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_002__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_002__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_002__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,small,none,none,616.2750244140625
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_002__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_002__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_002__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,small,none,none,890.6046142578125
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_003__pair1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_003__pair1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_003__pair1__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,small,none,none,917.551513671875
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_003__pair2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_003__pair2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__small__none__paired__part_003__pair2__paper_open,realized_closed,paper_open,budget_spending,direction_train,loss,small,none,none,950.2893676757812
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_001__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_001__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_001__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,large,none,none,515.1185913085938
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_001__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_001__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_001__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,large,none,none,673.2404174804688
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_002__conferencefare,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_002__conferencefare__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_002__conferencefare__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,large,none,none,383.1148376464844
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_002__homebonus,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_002__homebonus__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_002__homebonus__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,large,none,none,840.5726928710938
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_003__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_003__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_003__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,large,none,none,574.3821411132812
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_003__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_003__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__large__none__paired__part_003__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,large,none,none,518.5261840820312
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_001__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_001__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_001__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,medium,none,none,636.49560546875
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_001__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_001__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_001__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,medium,none,none,383.0052185058594
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_002__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_002__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_002__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,medium,none,none,631.2717895507812
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_002__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_002__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_002__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,medium,none,none,903.0282592773438
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_003__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_003__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_003__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,medium,none,none,297.0440368652344
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_003__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_003__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__medium__none__paired__part_003__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,medium,none,none,419.79144287109375
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_001__p1,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_001__p1__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_001__p1__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,small,none,none,933.8374633789062
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_001__p2,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_001__p2__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_001__p2__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,small,none,none,1036.8817138671875
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_002__rebate_appliance,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_002__rebate_appliance__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_002__rebate_appliance__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,small,none,none,352.110107421875
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_002__rent_refund,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_002__rent_refund__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_002__rent_refund__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,small,none,none,314.50555419921875
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_003__booked_bonus,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_003__booked_bonus__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_003__booked_bonus__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,small,none,none,547.296630859375
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_003__resale_credit,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_003__resale_credit__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__neutral__small__none__paired__part_003__resale_credit__paper_open,realized_closed,paper_open,budget_spending,direction_train,neutral,small,none,none,580.1422119140625
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__compensation_bonus__none__neutral__paired__gain__large__none__paired__part_001__bonus_pending_paid,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__compensation_bonus__none__neutral__paired__gain__large__none__paired__part_001__bonus_pending_paid__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__compensation_bonus__none__neutral__paired__gain__large__none__paired__part_001__bonus_pending_paid__paper_open,realized_closed,paper_open,compensation_bonus,direction_train,gain,large,none,none,355.7899475097656
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__compensation_bonus__none__neutral__paired__gain__large__none__paired__part_001__commission_accrued_received,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__compensation_bonus__none__neutral__paired__gain__large__none__paired__part_001__commission_accrued_received__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__compensation_bonus__none__neutral__paired__gain__large__none__paired__part_001__commission_accrued_received__paper_open,realized_closed,paper_open,compensation_bonus,direction_train,gain,large,none,none,379.5653381347656
realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__compensation_bonus__none__neutral__paired__gain__large__none__paired__part_002__annual_bonus_payroll,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__compensation_bonus__none__neutral__paired__gain__large__none__paired__part_002__annual_bonus_payroll__realized_closed,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__compensation_bonus__none__neutral__paired__gain__large__none__paired__part_002__annual_bonus_payroll__paper_open,realized_closed,paper_open,compensation_bonus,direction_train,gain,large,none,none,635.5385131835938
