dataset,pair_id,split,domain,outcome_valence,amount_bucket,source_llm,projection_delta,correct_direction
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__large__none__paired__part_001__pair1,behavior_eval,casino_gambling,loss,large,gpt54,223.759765625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__large__none__paired__part_001__pair2,behavior_eval,casino_gambling,loss,large,gpt54,162.951171875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__large__none__paired__part_002__pair1,behavior_eval,casino_gambling,loss,large,gpt54,181.275390625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__large__none__paired__part_002__pair2,behavior_eval,casino_gambling,loss,large,gpt54,-130.837890625,False
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__large__none__paired__part_003__pair1,behavior_eval,casino_gambling,loss,large,gpt54,254.26171875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__large__none__paired__part_003__pair2,behavior_eval,casino_gambling,loss,large,gpt54,61.3828125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__medium__none__paired__part_001__pair1,behavior_eval,casino_gambling,loss,medium,gpt54,645.560546875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__medium__none__paired__part_001__pair2,behavior_eval,casino_gambling,loss,medium,gpt54,479.169921875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__medium__none__paired__part_002__pair1,behavior_eval,casino_gambling,loss,medium,gpt54,79.50390625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__medium__none__paired__part_002__pair2,behavior_eval,casino_gambling,loss,medium,gpt54,59.23046875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__medium__none__paired__part_003__pair1,behavior_eval,casino_gambling,loss,medium,gpt54,50.2109375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__medium__none__paired__part_003__pair2,behavior_eval,casino_gambling,loss,medium,gpt54,90.673828125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__small__none__paired__part_001__pair1,behavior_eval,casino_gambling,loss,small,gpt54,150.55859375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__small__none__paired__part_001__pair2,behavior_eval,casino_gambling,loss,small,gpt54,179.7265625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__small__none__paired__part_002__pair1,behavior_eval,casino_gambling,loss,small,gpt54,106.427734375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__small__none__paired__part_002__pair2,behavior_eval,casino_gambling,loss,small,gpt54,315.943359375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__small__none__paired__part_003__pair1,behavior_eval,casino_gambling,loss,small,gpt54,110.8359375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__loss__small__none__paired__part_003__pair2,behavior_eval,casino_gambling,loss,small,gpt54,46.8046875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__large__none__paired__part_001__pair1,behavior_eval,casino_gambling,neutral,large,gpt54,-44.810546875,False
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__large__none__paired__part_001__pair2,behavior_eval,casino_gambling,neutral,large,gpt54,53.859375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__large__none__paired__part_002__pair1,behavior_eval,casino_gambling,neutral,large,gpt54,267.228515625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__large__none__paired__part_002__pair2,behavior_eval,casino_gambling,neutral,large,gpt54,-58.21875,False
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__large__none__paired__part_003__pair1,behavior_eval,casino_gambling,neutral,large,gpt54,109.486328125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__large__none__paired__part_003__pair2,behavior_eval,casino_gambling,neutral,large,gpt54,230.986328125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__medium__none__paired__part_001__pair1,behavior_eval,casino_gambling,neutral,medium,gpt54,48.658203125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__medium__none__paired__part_001__pair2,behavior_eval,casino_gambling,neutral,medium,gpt54,101.009765625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__medium__none__paired__part_002__pair1,behavior_eval,casino_gambling,neutral,medium,gpt54,154.822265625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__medium__none__paired__part_002__pair2,behavior_eval,casino_gambling,neutral,medium,gpt54,96.44921875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__medium__none__paired__part_003__pair1,behavior_eval,casino_gambling,neutral,medium,gpt54,143.76953125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__medium__none__paired__part_003__pair2,behavior_eval,casino_gambling,neutral,medium,gpt54,117.201171875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__small__none__paired__part_001__pair1,behavior_eval,casino_gambling,neutral,small,gpt54,-58.84765625,False
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__small__none__paired__part_001__pair2,behavior_eval,casino_gambling,neutral,small,gpt54,240.22265625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__small__none__paired__part_002__pair1,behavior_eval,casino_gambling,neutral,small,gpt54,160.060546875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__small__none__paired__part_002__pair2,behavior_eval,casino_gambling,neutral,small,gpt54,254.5078125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__small__none__paired__part_003__pair1,behavior_eval,casino_gambling,neutral,small,gpt54,152.171875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_casino__behavior_eval__casino_gambling__none__neutral__paired__neutral__small__none__paired__part_003__pair2,behavior_eval,casino_gambling,neutral,small,gpt54,107.046875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__large__none__paired__part_001__pair1,behavior_eval,finance_investments,gain,large,gpt54,406.80078125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__large__none__paired__part_001__pair2,behavior_eval,finance_investments,gain,large,gpt54,319.349609375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__large__none__paired__part_002__pair1,behavior_eval,finance_investments,gain,large,gpt54,293.83203125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__large__none__paired__part_002__pair2,behavior_eval,finance_investments,gain,large,gpt54,27.32421875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__large__none__paired__part_003__pair1,behavior_eval,finance_investments,gain,large,gpt54,92.26953125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__large__none__paired__part_003__pair2,behavior_eval,finance_investments,gain,large,gpt54,271.15625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__medium__none__paired__part_001__pair1,behavior_eval,finance_investments,gain,medium,gpt54,19.103515625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__medium__none__paired__part_001__pair2,behavior_eval,finance_investments,gain,medium,gpt54,163.884765625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__medium__none__paired__part_002__pair1,behavior_eval,finance_investments,gain,medium,gpt54,-79.38671875,False
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__medium__none__paired__part_002__pair2,behavior_eval,finance_investments,gain,medium,gpt54,470.2734375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__medium__none__paired__part_003__pair1,behavior_eval,finance_investments,gain,medium,gpt54,27.935546875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__medium__none__paired__part_003__pair2,behavior_eval,finance_investments,gain,medium,gpt54,-13.63671875,False
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair1,behavior_eval,finance_investments,gain,small,gpt54,26.619140625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__small__none__paired__part_001__pair2,behavior_eval,finance_investments,gain,small,gpt54,103.044921875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair1,behavior_eval,finance_investments,gain,small,gpt54,228.568359375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__small__none__paired__part_002__pair2,behavior_eval,finance_investments,gain,small,gpt54,208.619140625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair1,behavior_eval,finance_investments,gain,small,gpt54,191.412109375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__gain__small__none__paired__part_003__pair2,behavior_eval,finance_investments,gain,small,gpt54,242.79296875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__large__none__paired__part_001__pair1,behavior_eval,finance_investments,loss,large,gpt54,400.34765625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__large__none__paired__part_001__pair2,behavior_eval,finance_investments,loss,large,gpt54,162.48046875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__large__none__paired__part_002__pair1,behavior_eval,finance_investments,loss,large,gpt54,473.740234375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__large__none__paired__part_002__pair2,behavior_eval,finance_investments,loss,large,gpt54,30.451171875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__large__none__paired__part_003__pair1,behavior_eval,finance_investments,loss,large,gpt54,189.423828125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__large__none__paired__part_003__pair2,behavior_eval,finance_investments,loss,large,gpt54,205.8671875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__medium__none__paired__part_001__pair1,behavior_eval,finance_investments,loss,medium,gpt54,158.263671875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__medium__none__paired__part_001__pair2,behavior_eval,finance_investments,loss,medium,gpt54,213.986328125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__medium__none__paired__part_002__p1,behavior_eval,finance_investments,loss,medium,gpt54,118.263671875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__medium__none__paired__part_002__p2,behavior_eval,finance_investments,loss,medium,gpt54,164.048828125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__medium__none__paired__part_003__pair1,behavior_eval,finance_investments,loss,medium,gpt54,322.171875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__medium__none__paired__part_003__pair2,behavior_eval,finance_investments,loss,medium,gpt54,311.19921875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__small__none__paired__part_001__pair1,behavior_eval,finance_investments,loss,small,gpt54,73.716796875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__small__none__paired__part_001__pair2,behavior_eval,finance_investments,loss,small,gpt54,340.291015625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__small__none__paired__part_002__p1,behavior_eval,finance_investments,loss,small,gpt54,417.548828125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__small__none__paired__part_002__p2,behavior_eval,finance_investments,loss,small,gpt54,395.4765625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__small__none__paired__part_003__pair1,behavior_eval,finance_investments,loss,small,gpt54,184.865234375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__loss__small__none__paired__part_003__pair2,behavior_eval,finance_investments,loss,small,gpt54,67.451171875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__large__none__paired__part_001__pair1,behavior_eval,finance_investments,neutral,large,gpt54,189.31640625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__large__none__paired__part_001__pair2,behavior_eval,finance_investments,neutral,large,gpt54,238.84765625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__large__none__paired__part_002__pair1,behavior_eval,finance_investments,neutral,large,gpt54,-8.380859375,False
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__large__none__paired__part_002__pair2,behavior_eval,finance_investments,neutral,large,gpt54,6.30859375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__large__none__paired__part_003__pair1,behavior_eval,finance_investments,neutral,large,gpt54,-78.345703125,False
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__large__none__paired__part_003__pair2,behavior_eval,finance_investments,neutral,large,gpt54,-54.884765625,False
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__medium__none__paired__part_001__pair1,behavior_eval,finance_investments,neutral,medium,gpt54,212.609375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__medium__none__paired__part_001__pair2,behavior_eval,finance_investments,neutral,medium,gpt54,-75.802734375,False
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__medium__none__paired__part_002__p1,behavior_eval,finance_investments,neutral,medium,gpt54,169.935546875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__medium__none__paired__part_002__p2,behavior_eval,finance_investments,neutral,medium,gpt54,193.4609375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__medium__none__paired__part_003__pair1,behavior_eval,finance_investments,neutral,medium,gpt54,24.46875,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__medium__none__paired__part_003__pair2,behavior_eval,finance_investments,neutral,medium,gpt54,-49.498046875,False
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__small__none__paired__part_001__pair1,behavior_eval,finance_investments,neutral,small,gpt54,101.15234375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__small__none__paired__part_001__pair2,behavior_eval,finance_investments,neutral,small,gpt54,189.5390625,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__small__none__paired__part_002__pair1,behavior_eval,finance_investments,neutral,small,gpt54,292.736328125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__small__none__paired__part_002__pair2,behavior_eval,finance_investments,neutral,small,gpt54,351.4453125,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__small__none__paired__part_003__pair1,behavior_eval,finance_investments,neutral,small,gpt54,98.59375,True
original,realization_vector_generation_v1__gpt54__behavior_realization_finance__behavior_eval__finance_investments__none__neutral__paired__neutral__small__none__paired__part_003__pair2,behavior_eval,finance_investments,neutral,small,gpt54,-161.65234375,False
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_001__p1,direction_train,budget_spending,gain,large,gpt54,199.478515625,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_001__p2,direction_train,budget_spending,gain,large,gpt54,89.724609375,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_002__p1,direction_train,budget_spending,gain,large,gpt54,176.837890625,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_002__p2,direction_train,budget_spending,gain,large,gpt54,625.126953125,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_003__p1,direction_train,budget_spending,gain,large,gpt54,886.458984375,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__large__none__paired__part_003__p2,direction_train,budget_spending,gain,large,gpt54,430.146484375,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_001__p1,direction_train,budget_spending,gain,medium,gpt54,423.923828125,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_001__p2,direction_train,budget_spending,gain,medium,gpt54,107.10546875,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_002__pair1,direction_train,budget_spending,gain,medium,gpt54,332.392578125,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_002__pair2,direction_train,budget_spending,gain,medium,gpt54,298.330078125,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_003__pair1,direction_train,budget_spending,gain,medium,gpt54,205.677734375,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__medium__none__paired__part_003__pair2,direction_train,budget_spending,gain,medium,gpt54,40.755859375,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_001__pair1,direction_train,budget_spending,gain,small,gpt54,-230.88671875,False
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_001__pair2,direction_train,budget_spending,gain,small,gpt54,405.166015625,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_002__pair1,direction_train,budget_spending,gain,small,gpt54,549.150390625,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_002__pair2,direction_train,budget_spending,gain,small,gpt54,234.7421875,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_003__pair1,direction_train,budget_spending,gain,small,gpt54,331.484375,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__gain__small__none__paired__part_003__pair2,direction_train,budget_spending,gain,small,gpt54,930.82421875,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_001__p1,direction_train,budget_spending,loss,large,gpt54,-7.31640625,False
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_001__p2,direction_train,budget_spending,loss,large,gpt54,485.66796875,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_002__budget_fee,direction_train,budget_spending,loss,large,gpt54,357.107421875,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_002__budget_refund,direction_train,budget_spending,loss,large,gpt54,232.388671875,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_003__pair1,direction_train,budget_spending,loss,large,gpt54,-47.0234375,False
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__large__none__paired__part_003__pair2,direction_train,budget_spending,loss,large,gpt54,339.81640625,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_001__p1,direction_train,budget_spending,loss,medium,gpt54,720.115234375,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_001__p2,direction_train,budget_spending,loss,medium,gpt54,1190.884765625,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_002__pair1,direction_train,budget_spending,loss,medium,gpt54,863.05859375,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_002__pair2,direction_train,budget_spending,loss,medium,gpt54,953.572265625,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_003__pair1,direction_train,budget_spending,loss,medium,gpt54,608.404296875,True
original,realization_vector_generation_v1__gpt54__direction_realization_money__direction_train__budget_spending__none__neutral__paired__loss__medium__none__paired__part_003__pair2,direction_train,budget_spending,loss,medium,gpt54,829.84765625,True
